Market Name,Price Date,Min_Price,Max_Price,Modal_Price,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,precipitation_hours,weather_code,Modal_Price_Lag1,Modal_Price_Lag2,Modal_Price_Lag3,Modal_Price_Lag4,temperature_2m_mean_Lag1,temperature_2m_mean_Lag2,temperature_2m_mean_Lag3,temperature_2m_mean_Lag4,temperature_2m_max_Lag1,temperature_2m_max_Lag2,temperature_2m_max_Lag3,temperature_2m_max_Lag4,temperature_2m_min_Lag1,temperature_2m_min_Lag2,temperature_2m_min_Lag3,temperature_2m_min_Lag4,wind_speed_10m_max_Lag1,wind_speed_10m_max_Lag2,wind_speed_10m_max_Lag3,wind_speed_10m_max_Lag4,precipitation_sum_Lag1,precipitation_sum_Lag2,precipitation_sum_Lag3,precipitation_sum_Lag4,precipitation_hours_Lag1,precipitation_hours_Lag2,precipitation_hours_Lag3,precipitation_hours_Lag4,weather_code_Lag1,weather_code_Lag2,weather_code_Lag3,weather_code_Lag4
pathardi,09-07-2023,200,2033.333333,1066.666667,27.25024733,34.2065,24.1565,16.95110933,79.200001,50,63,950,900,966.6666667,733.3333333,28.8283725,29.96761067,34.96274833,35.703722,33.0565,40.6565,41.4565,42.1065,25.6565,24.9065,30.0065,28.706501,20.496847,15.118184,20.21231533,17.88145567,0.8,20.000001,1.8,0.3,8,33,5,1,51,3,3,3
phaltan,09-07-2023,400,2000,1200,29.298166,34.2065,25.206501,13.397612,19.4,15,63,1000,700,700,700,25.594,35.662746,35.662746,35.662746,27.1565,42.1065,42.1065,42.1065,24.7565,28.706501,28.706501,28.706501,24.798223,17.595861,17.595861,17.595861,54,0,0,0,24,0,0,0,63,3,3,3
pimpalgaon,09-07-2023,333.3333333,2480.833333,1366.666667,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,1295,983.6666667,991.6666667,960.6,27.271084,31.86587383,35.2571935,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.560837,19.27944767,22.6561845,21.726803,98.599999,24.600001,1.8,0.5,73,36,5,1,51,3,3,3
pimpalgaon baswant(saykheda),09-07-2023,308.3333333,1451.833333,1100,28.45337517,34.2065,24.1565,14.30254733,105.5000058,71,51,990,751.6666667,742.5,714,27.271084,31.86587383,35.03254025,35.6023332,33.1065,40.6565,41.4565,44.2065,24.706501,24.956501,30.0065,28.1065,22.560837,19.27944767,23.151173,21.726803,98.599999,24.600001,1.8,0.5,73,36,5,1,51,3,3,3
pratap nana mahale khajgi bajar samiti,09-07-2023,618.3333333,1432.5,1096.66,28.3887915,34.2065,24.1565,14.41661167,94.6999996,72,61,950.2675,670.9833333,544.1925,450.2125,26.82264625,31.767608,34.8304565,35.5653525,32.2565,40.6065,41.4565,44.2065,24.706501,25.0065,30.0065,28.1065,22.110771,19.72993167,22.43170125,19.99233325,81.699999,12.300001,1.8,0,68,21,5,0,63,3,3,3
pune,09-07-2023,733.3333333,1666.666667,1200,28.28323617,34.2065,24.1565,14.20949117,84.2000008,65,51,1066.666667,933.3333333,966.6666667,975,27.27108267,31.7676095,35.18462417,35.6700425,33.0565,40.6565,41.4565,44.2065,24.706501,24.9065,30.0065,28.1065,21.35996317,19.19316233,22.26368683,19.27779625,100.0999989,23.800001,1.8,0.3,80,45,5,1,51,3,3,3
pune(khadiki),09-07-2023,683.3333333,1366.666667,1025,27.74122133,34.2065,24.1565,15.08254567,131.0000068,84,63,1075,1107.142857,950,740,27.77455533,31.28387957,35.42768,35.8627504,33.1065,40.6565,41.4565,44.2065,24.706501,24.9065,30.0065,28.706501,21.58815017,18.347874,21.3620835,21.1946802,94.5999999,33.300001,1.8,0.8,67,54,5,2,51,3,3,3
pune(manjri),09-07-2023,920,1500,1200,27.8914996,34.2065,24.1565,14.6310754,83.9000008,64,63,1000,933.3333333,766.6666667,666.6666667,26.9469168,30.542262,35.18462417,35.65754267,32.2565,40.6065,41.4565,44.2065,24.706501,24.9065,30.0065,28.1065,21.832293,18.32007917,22.26368683,20.87153233,99.7999989,33.300001,1.8,0.8,77,54,5,2,63,61,3,3
pune(moshi),09-07-2023,380,1240,810,27.5069152,34.2065,24.1565,16.1338372,127.500007,77,63,791.6666667,660,670,580,27.77455533,30.0123332,34.968582,35.8627504,33.1065,40.6565,41.4565,44.2065,24.706501,24.9065,30.0065,28.706501,21.58815017,16.66536,21.8757962,21.1946802,94.5999999,32.300001,1.8,0.8,67,48,5,2,51,61,3,3
pune(pimpri),09-07-2023,800,1500,1135.714286,28.09846386,34.2065,24.1565,14.656692,131.3000068,85,51,1135.714286,1021.428571,942.8571429,866.6666667,27.58894029,31.28387957,35.29489214,35.65754267,33.1065,40.6565,41.4565,44.2065,24.706501,24.9065,30.0065,28.1065,21.49628186,18.347874,22.22704043,20.87153233,100.5999989,33.300001,1.8,0.8,84,54,5,2,51,3,3,3
